date,act,aus
2021-03-23,,5075
2021-03-24,,6269
2021-03-25,,10463
2021-03-26,,13673
2021-03-27,,15506
2021-03-28,,16781
2021-03-29,,24488
2021-03-30,,24545
2021-03-31,,30470
2021-04-01,,34252
2021-04-02,,65164
2021-04-03,,66281
2021-04-04,,67238
2021-04-05,,67550
2021-04-06,,68931
2021-04-07,,76291
2021-04-08,,75493
2021-04-09,,82772
2021-04-10,,88215
2021-04-11,,89052
2021-04-12,,89556
2021-04-13,,95635
2021-04-14,,100622
2021-04-15,,105552
2021-04-16,,109774
2021-04-17,,113265
2021-04-18,,114273
2021-04-19,,114775
2021-04-20,,117892
2021-04-21,,132338
2021-04-22,,136277
2021-04-23,,132916
2021-04-24,,134249
2021-04-25,,135256
2021-04-26,,135278
2021-04-27,,136117
2021-04-28,,138815
2021-04-29,,140991
2021-04-30,,143487
2021-05-01,,145904
2021-05-02,,146346
2021-05-03,,146546
2021-05-04,,148962
2021-05-05,,152319
2021-05-06,,155362
2021-05-07,,159127
2021-05-08,,162569
2021-05-09,,163265
2021-05-10,,163586
2021-05-11,,166641
2021-05-12,,169887
2021-05-13,,175049
2021-05-14,,178468
2021-05-15,,182630
2021-05-16,,183689
2021-05-17,,184476
2021-05-18,,189823
2021-05-19,13826,208908
2021-05-20,13826,214038
2021-05-21,,206162
2021-05-22,,211005
2021-05-23,,212940
2021-05-24,16656,416293
2021-05-25,16656,419237
2021-05-26,19309,472882
2021-05-27,19309,481681
2021-05-28,19309,491319
2021-05-29,19309,496024
2021-05-30,19309,497821
2021-05-31,19309,499237
2021-06-01,19309,502968
2021-06-02,21153,540631
2021-06-03,21153,548892
2021-06-04,21153,557475
2021-06-05,21153,564816
2021-06-06,21153,568490
2021-06-07,21153,575984
2021-06-08,25439,635116
2021-06-09,25439,649574
2021-06-10,25439,656482
2021-06-11,25439,668997
2021-06-12,25439,683397
2021-06-13,25439,693242
2021-06-14,25439,694872
2021-06-15,25439,698892
2021-06-16,28967,778333
2021-06-17,28967,800566
2021-06-18,28967,821007
2021-06-19,28967,841202
2021-06-20,28967,857720
2021-06-21,28967,864359
2021-06-22,35790,1087344
2021-06-23,35790,1114401
2021-06-24,35790,1130791
2021-06-25,35790,1169716
2021-06-26,35790,1192153
2021-06-27,35790,1211798
2021-06-28,35790,1222021
2021-06-29,42467,1477360
2021-06-30,42467,1501475
2021-07-01,42467,1520932
2021-07-02,47464,1726030
2021-07-03,49843,1807994
2021-07-04,50219,1855470
2021-07-05,50816,1877342
2021-07-06,53654,1943939
2021-07-07,54496,2023638
2021-07-08,55752,2099169
2021-07-09,56751,2180230
2021-07-10,58429,2254272
2021-07-11,58931,2303513
2021-07-12,59392,2325386
2021-07-13,62082,2400432
2021-07-14,63580,2488298
2021-07-15,64995,2578152
2021-07-16,65961,2669571
2021-07-17,67331,2753119
2021-07-18,68133,2801465
2021-07-19,68264,2827855
2021-07-20,74460,2906341
2021-07-21,75941,2994218
2021-07-22,76715,3089644
2021-07-23,79250,3182918
2021-07-24,80144,3271447
2021-07-25,80691,3326691
2021-07-26,80804,3358477
2021-07-27,87180,3444461
2021-07-28,88956,3544484
2021-07-29,73361,3656540
2021-07-30,74508,3762007
2021-07-31,76910,3865785
2021-08-01,78713,3927056
2021-08-02,79341,3964723
2021-08-03,82284,4061924
2021-08-04,84043,4174026
2021-08-05,85228,4289820
2021-08-06,86247,4408805
2021-08-07,88212,4526588
2021-08-08,89739,4611321
2021-08-09,90765,4651958
2021-08-10,93380,4761140
2021-08-11,94513,4892237
2021-08-12,97035,5023297
2021-08-13,98445,5158400
2021-08-14,103014,5295788
2021-08-15,104279,5372888
2021-08-16,104819,5409686
2021-08-17,107593,5542237
2021-08-18,110697,5671442
2021-08-19,112125,5815832
2021-08-20,117405,5958723
2021-08-21,122835,6103421
