date,tas,nt,act,sa,wa,qld,vic,nsw,aus
2021-03-23,1100,60.8188341984499,101.819500128537,402.247833564307,1278.08706871834,955.08590606268,3369,2320.52513657848,5075
2021-03-24,1100,75.1277382443512,125.774669222817,496.885057855102,1578.78380961483,1179.78986110482,4362,2866.47725738138,6269
2021-03-25,1100,125.388662506085,209.918705388154,829.304252725783,2635,1969.07661776036,5709,4784.16837517648,10463
2021-03-26,2178,163.857324137026,274.320793154184,1083.73096124626,3444,2573.1802154867,6797,6251.92910195814,13673
2021-03-27,2178,185.824008488899,311.096190934599,1229.01574527057,4025,2918.1403072725,7874,7090.06162912038,15506
2021-03-28,2178,201.103617080628,336.676459439798,1330.07308276702,4101,3158.08799795819,9073,7673.05070284206,16781
2021-03-29,2178,293.464357015102,491.301658945342,1940.93496518675,4269,4608.50121530304,9612,11197.048186115,24488
2021-03-30,2178,294.147445399203,492.445247419692,1945.45282262777,2609,4619.22828853369,11108,11223.1112270579,24545
2021-03-31,2535,365.152685325472,611.318259885028,2415.07221452304,6270,5734.27932172017,12782,13932.2957461175,30470
2021-04-01,2535,410.476198810898,687.196358305939,2714.83601876742,7177,6446.03004028747,15448,15661.6013749923,34252
2021-04-02,3873.30567348234,780.925815114835,1307.3824446061,5164.94144362256,8217,12263.491228112,18059,29796,65164
2021-04-03,3882.8992429935,794.311950641864,1329.79276611223,5253.47559733514,8393,12473.7042245794,18413,30383,66281
2021-04-04,3881.34229490857,805.780645090714,1348.99301470789,5329.32804595013,8520,12653.8061382941,18414,31212,67238
2021-04-05,3841.46496352479,809.519655193161,1355.25265688328,5354.05737089043,8520,12712.5227496619,18726,31212,67550
2021-04-06,3860.9291899435,826.069568499182,1382.95959869166,5463.51633801404,8684,12972.4190326713,19116,31795,68931
2021-04-07,4207.79552726593,914.271858095358,1530.62295257265,6046.87477250336,9554,14357.5288392961,21690,35475,76291
2021-04-08,4099.08769892886,904.708620717947,1514.61271393175,5983.62476832911,10334,14207.349814067,23793,38445,75493
2021-04-09,4423.38751752102,991.940205768295,1660.65096840182,6560.56308961278,11214,15577.2158850483,27261,41376,82772
2021-04-10,4638.6680980059,1057.16915444655,1769.85363622441,6991.97884490155,11918,16601.5572814422,29360,44016,88215
2021-04-11,4606.36660244117,1067.19976808677,1786.64633013723,7058.32001469334,12088,16759.0758830924,29835,44208,89052
2021-04-12,4555.69093016139,1073.23970748303,1796.75805980517,7098.26738575076,12172,16853.9257937634,30255,44208,89556
2021-04-13,4782.97271986479,1146.09048444705,1918.72076744682,7580.09291880247,12963,17997.9587440994,32489,46400,95635
2021-04-14,4946.15742594013,1205.8547260525,2018.77472747461,7975.3658145631,13827,18936.4835546481,34530,48482,100622
2021-04-15,5098.04177520735,1264.93587927385,2117.68509902804,8366.12085288271,14667,19864.2812919661,36307,50388,105552
2021-04-16,5207.88762801901,1315.53235572426,2202.39089795271,8700.75934614547,15372,20658.8374881034,37534,52537,109774
2021-04-17,5276.44371422382,1357.36852324875,2272.43067626773,8977.4582992436,15372,21315.8236749142,38814,54555,113265
2021-04-18,5225.47391961701,1369.44840204127,2292.6541356036,9057.35304135844,16232,21505.5234962563,38849,54668,114273
